Date,Symbol,Company,Sector,Industry,Last Index Change
2021-01-04,WCN,Waste Connections Inc.,Industrials,Waste Management,2020-06-22
2021-01-04,WDO,Wesdome Gold Mines Ltd.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,WFT,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products,2020-06-22
2021-01-04,WTE,Westshore Terminals Investment Corporation,Industrials,Transportation,2020-06-22
2021-01-04,WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,WCP,Whitecap Resources Inc.,Energy,Oil & Gas,2020-06-22
2021-01-04,WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers,2020-06-22
2021-01-04,WIR.UN,WPT Industrial Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,WSP,WSP Global Inc.,Industrials,Construction,2020-06-22
2021-01-04,YRI,Yamana Gold Inc.,Basic Materials,Metals & Mining,2020-06-22
